4,4,53,196,227,206,115,408,150,1018,1160,242,0.5096
4,2,228,87,328,228,251,440,515,1552,96,933,0.6019
6,2,496,251,478,295,368,117,1006,1058,1310,1189,0.5738
4,1,103,51,409,12,231,171,1690,39,1776,1453,0.5604
3,1,146,88,291,142,141,483,1169,1241,647,1623,0.621
3,3,158,454,390,509,405,315,349,1116,220,95,0.5715
3,3,382,455,170,262,410,449,1507,1608,716,76,0.6099
3,3,389,208,454,73,287,296,32,1625,1620,1380,0.4464
5,3,287,189,102,97,367,468,746,1279,1694,1133,0.5431
4,1,128,244,321,317,186,8,1574,631,932,818,0.6728
3,3,41,202,100,42,118,192,1415,895,1416,712,0.58
6,1,20,387,63,342,396,322,1505,690,1879,252,0.5867
6,2,232,420,508,349,383,453,716,1809,260,1682,0.6159
3,2,361,473,345,23,27,239,791,59,1386,548,0.6006
5,1,271,51,270,273,393,219,1915,118,167,248,0.6064
5,2,207,168,197,356,329,434,74,764,1793,1155,0.5056
4,3,127,89,148,468,75,143,1672,952,1376,828,0.61
4,2,265,122,168,470,471,483,1366,1157,1726,2014,0.6509
5,1,128,134,465,347,289,212,274,1368,1226,2007,0.5777
3,2,258,278,392,338,499,450,2016,286,2020,871,0.6396
4,4,405,357,432,201,261,145,1407,840,1094,629,0.5958
4,2,412,213,161,400,254,292,1897,1951,1078,849,0.6587
6,3,339,282,495,415,219,110,420,987,1789,1696,0.5375
4,4,286,180,332,479,385,263,934,1580,595,1938,0.6086
3,1,241,364,29,349,475,501,1359,316,573,1864,0.5703
5,3,432,242,154,250,264,385,1056,479,1339,1907,0.5429
5,4,127,124,339,115,202,187,499,451,1425,1969,0.51
3,4,147,181,109,252,331,329,331,1544,1047,905,0.531
6,1,113,203,181,439,309,186,753,821,1460,353,0.5911
4,4,252,222,18,220,209,304,1534,1085,501,1119,0.5372
5,3,205,214,91,198,45,103,592,800,439,1683,0.4718
3,3,382,197,100,390,186,333,879,1836,1254,1110,0.5771
5,4,187,305,492,144,166,482,1198,1051,860,1745,0.5392
5,1,20,337,240,425,488,257,146,1599,218,1029,0.5676
4,1,286,482,372,364,401,164,7,1613,1843,887,0.1
5,1,119,373,247,9,312,448,747,1860,1504,740,0.5709
5,3,170,65,308,185,108,85,1233,1133,1641,1265,0.5493
6,1,88,15,262,350,348,90,531,1278,1413,474,0.542
5,1,62,130,83,160,413,410,653,65,895,1358,0.5772
6,2,317,492,504,336,325,271,2040,1877,1832,728,0.6314
5,2,46,398,72,383,419,396,1495,847,533,248,0.5859
5,4,112,222,23,418,165,350,1321,1950,326,1626,0.4904
3,2,22,210,29,410,206,72,1454,716,85,79,0.5149
3,3,239,387,364,431,350,86,419,1024,1355,1342,0.5859
5,3,344,393,404,462,166,141,1623,613,581,670,0.5567
6,2,312,112,132,37,168,201,977,1103,1615,1498,0.5194
5,1,293,208,231,146,348,151,829,736,503,1418,0.6054
4,3,201,433,63,261,352,102,26,551,866,49,0.3789
5,2,14,319,53,195,459,94,602,1857,715,1784,0.557
5,3,345,45,204,484,90,304,1043,2043,343,747,0.5226
3,4,476,251,262,282,432,44,40,1412,2008,939,0.4217
3,2,205,478,450,84,174,220,990,405,1396,1562,0.6511
5,2,387,408,389,340,194,200,1677,624,785,1977,0.6074
4,2,392,85,131,313,193,405,69,1913,207,1575,0.5336
6,2,391,146,251,330,107,125,829,1056,378,516,0.5506
6,3,394,399,489,241,174,16,1722,202,748,1422,0.4927
3,1,230,33,131,246,39,52,1058,703,1979,1286,0.5808
4,3,358,217,511,356,487,386,1140,466,226,742,0.6159
6,1,184,47,130,216,306,498,1862,358,905,358,0.6091
5,3,509,456,263,36,75,480,973,297,1697,1345,0.4924
5,4,202,256,37,199,338,422,1091,1964,933,1966,0.5065
6,1,141,202,23,491,447,28,1796,1436,638,1755,0.5256
5,2,430,451,315,89,220,45,1386,1534,1043,1966,0.5828
5,1,238,11,470,415,384,381,800,438,1956,128,0.5846
3,3,387,192,379,229,184,443,1801,713,1258,1356,0.6172
4,1,324,346,289,95,349,318,1639,363,891,1815,0.652
4,1,114,383,296,438,447,48,1664,931,1822,1495,0.6744
